recipe_id,line_no,raw_line,qty,unit,name_raw,state,dry_fresh,parse_status
92,10,Coconut Oil - for cooking,nan,,Coconut Oil,,,reviewed
93,1,1 cup Cauliflower (gobi) - florets,1,cup,Cauliflower (gobi),florets,,reviewed
93,2,1/2 cup Carrots (Gajjar) - diced,1/2,cup,Carrots (Gajjar),diced,,auto
93,3,2 to 3 tablespoons Green peas (Matar) - fresh or frozen,2.5,tablespoon,Green peas (Matar),,Fresh,reviewed
93,4,1 Onion - finely chopped,1,,Onion,finely chopped,,auto
93,5,2 tablespoons Ginger Garlic Paste,2,tablespoon,Ginger Garlic Paste,,,auto
93,6,2 Green Chillies - slit,2,,Green Chillies,slit,,auto
93,7,1 Tomato - pureed,1,,Tomato,pureed,,auto
93,8,1/2 teaspoon Turmeric powder (Haldi),1/2,teaspoon,Turmeric powder (Haldi),,,auto
93,9,1 teaspoon Red Chilli powder,1,teaspoon,Red Chilli powder,,,auto
93,10,2 teaspoons Coriander Powder (Dhania),2,teaspoon,Coriander Powder (Dhania),,,auto
93,11,1/2 teaspoon Cumin powder (Jeera),1/2,teaspoon,Cumin powder (Jeera),,,auto
93,12,1 inch Cinnamon Stick (Dalchini),1,inch,Cinnamon Stick (Dalchini),,,reviewed
93,13,2 sprig Curry leaves,2,sprig,Curry leaves,,,auto
93,14,1 cup Coconut milk - thin,1,cup,Coconut milk,thin,,reviewed
93,15,1/2 cup Coconut milk - thick,1/2,cup,Coconut milk,thick,,reviewed
93,16,Salt - as required,nan,,Salt,,,reviewed
93,17,4 to 5 Cashew nuts - broken,4.5,,Cashew nuts,broken,,reviewed
93,18,Sunflower Oil - as required,nan,,Sunflower Oil,,,reviewed
93,19,2 tablespoons Coriander (Dhania) Leaves - finely chopped,2,tablespoon,Coriander (Dhania) Leaves,finely chopped,,auto
94,1,250 grams Prawns,250,gram,Prawns,,,auto
94,2,1 cup Coconut milk,1,cup,Coconut milk,,,auto
94,3,1 teaspoon Tamarind Paste,1,teaspoon,Tamarind Paste,,,auto
94,4,1 sprig Curry leaves,1,sprig,Curry leaves,,,auto
94,5,1/2 teaspoon Mustard seeds,1/2,teaspoon,Mustard seeds,,,auto
94,6,1/2 teaspoon Methi Seeds (Fenugreek Seeds),1/2,teaspoon,Methi Seeds (Fenugreek Seeds),,,auto
94,7,2 Dry Red Chillies,2,,Dry Red Chillies,,Dry,auto
94,8,3 Pearl onions (Sambar Onions),3,,Pearl onions (Sambar Onions),,,auto
94,9,1 teaspoon Turmeric powder (Haldi),1,teaspoon,Turmeric powder (Haldi),,,auto
94,10,1 teaspoon Kashmiri Red Chilli Powder,1,teaspoon,Kashmiri Red Chilli Powder,,,auto
94,11,Salt - to taste,nan,,Salt,,,reviewed
94,12,1 teaspoon Lemon juice,1,teaspoon,Lemon juice,,,auto
94,13,3 teaspoon Mustard oil,3,teaspoon,Mustard oil,,,auto
94,14,3/4 cup Fresh coconut - grated,3/4,cup,Fresh coconut,grated,Fresh,auto
94,15,1 teaspoon Ginger - chopped,1,teaspoon,Ginger,chopped,,auto
94,16,2 teaspoon Garlic - chopped,2,teaspoon,Garlic,chopped,,auto
94,17,2 Green Chillies,2,,Green Chillies,,,auto
94,18,1/2 teaspoon Turmeric powder (Haldi),1/2,teaspoon,Turmeric powder (Haldi),,,auto
94,19,1/2 teaspoon Cumin powder (Jeera),1/2,teaspoon,Cumin powder (Jeera),,,auto
94,20,1 teaspoon Coriander Powder (Dhania),1,teaspoon,Coriander Powder (Dhania),,,auto
95,1,2 Bay leaves (tej patta),2,,Bay leaves (tej patta),,,auto
95,2,1 Cardamom (Elaichi) Pods/Seeds,1,,Cardamom (Elaichi) Pods/Seeds,pods/seeds,,reviewed
95,3,1 tablespoon Whole Black Peppercorns,1,tablespoon,Whole Black Peppercorns,,,auto
95,4,5 Cloves (Laung),5,clove,Cloves (Laung),cloves,,reviewed
95,5,1 inch Cinnamon Stick (Dalchini),1,inch,Cinnamon Stick (Dalchini),,,reviewed
95,6,1 cup Red matta rice - washed thoroughly,1,cup,Red matta rice,washed thoroughly,,auto
95,7,Salt - to taste,nan,,Salt,,,reviewed
95,8,1 inch Ginger,1,inch,Ginger,,,reviewed
95,9,5 cloves Garlic,5,clove,Garlic,,,auto
95,10,3 Green Chilli,3,,Green Chilli,,,auto
95,11,300 grams Chicken - curry cut,300,gram,Chicken,curry cut,,auto
95,12,2 Onions - sliced,2,,Onions,sliced,,auto
95,13,3 Tomatoes - chopped,3,,Tomatoes,chopped,,auto
95,14,1 teaspoon Red Chilli powder,1,teaspoon,Red Chilli powder,,,auto
95,15,1/2 teaspoon Turmeric powder (Haldi),1/2,teaspoon,Turmeric powder (Haldi),,,auto
95,16,2 tablespoon Garam masala powder,2,tablespoon,Garam masala powder,,,auto
95,17,1/4 cup Coriander (Dhania) Leaves - chopped,1/4,cup,Coriander (Dhania) Leaves,chopped,,auto
95,18,1/4 cup Mint Leaves (Pudina) - chopped,1/4,cup,Mint Leaves (Pudina),chopped,,auto
95,19,1 Lemon juice,1,,Lemon juice,,,auto
95,20,1/2 cup Milk,1/2,cup,Milk,,,auto
95,21,5 Saffron strands,5,,Saffron strands,,,auto
95,22,1 tablespoon Cashew nuts,1,tablespoon,Cashew nuts,,,auto
95,23,1 tablespoon Ghee,1,tablespoon,Ghee,,,auto
96,1,4 cups water,4,cup,water,,,auto
96,2,1 tbsp ginger powder,1,tablespoon,ginger powder,,,auto
96,3,1 tsp black pepper powder,1,teaspoon,black pepper powder,,,auto
96,4,1 tbsp instant coffee powder,1,tablespoon,instant coffee powder,,,auto
96,5,20 tulsi,20,,tulsi,,,auto
96,6,1 tsp cumin seeds,1,teaspoon,cumin seeds,,,auto
96,7,1/2 tsp cardamom powder - more or less,1/2,teaspoon,cardamom powder,,,reviewed
96,8,3 tbsp jaggery - Add more or less salt to taste,3,tablespoon,jaggery,,,reviewed
97,1,1 Cucumber - peeled and diced,1,,Cucumber,peeled and diced,,auto
97,2,1 Mango (Raw) - peeled and diced,1,,Mango (Raw),peeled and diced,,auto
97,3,2 Green Chillies - slit,2,,Green Chillies,slit,,auto
97,4,1/4 teaspoon Turmeric powder (Haldi),1/4,teaspoon,Turmeric powder (Haldi),,,auto
97,5,1 cup Water,1,cup,Water,,,auto
97,6,1/4 cup Fresh coconut - grated,1/4,cup,Fresh coconut,grated,Fresh,auto
97,7,2 teaspoons Cumin seeds (Jeera),2,teaspoon,Cumin seeds (Jeera),,,auto
97,8,1 teaspoon Mustard seeds,1,teaspoon,Mustard seeds,,,auto
97,9,1/2 teaspoon White Urad Dal (Split),1/2,teaspoon,White Urad Dal (Split),,,auto
97,10,1 sprig Curry leaves,1,sprig,Curry leaves,,,auto
97,11,1 Dry Red Chilli,1,,Dry Red Chilli,,Dry,auto
97,12,Salt - to taste,nan,,Salt,,,reviewed
98,1,250 grams small potatoes - half cut,250,gram,small potatoes,halved,,reviewed
